House_Area_sqft,Number_of_Rooms,Number_of_Bathrooms,Number_of_Floors,House_Age,Basement,State,City,Region_Type,Renovation_Type,Quality_Grade,Material_Quality,Wall_Condition,Roof_Condition,Plumbing_Condition,Electrical_Condition,Waterproofing_Required,Season,Cement_Price,Steel_Price,Sand_Price,Paint_Price,Brick_Price,Tile_Price,Wood_Price,Estimated_Labour_Cost,Estimated_Duration_Days,Estimated_Renovation_Cost,Budget_Status
2326,5,2,1,75,0,West Bengal,Kolkata,Urban,Painting,Standard,Premium,2,3,2,3,Yes,Winter,386.52,66.64,53.99,328.06,9.57,84.65,1889.72,316080.27,51,559953.64,Over Budget
1000,3,1,1,65,1,Tamil Nadu,Madurai,Rural,Roofing,Economy,Standard,6,4,6,6,Yes,Summer,343.24,58.34,48.94,292.46,8.43,71.56,1513.97,112883.16,60,162522.24,Over Budget
2631,6,3,3,27,1,Uttar Pradesh,Agra,Urban,Exterior,Standard,Premium,6,6,8,7,No,Summer,348.7,65.46,51.97,298.62,8.94,76.51,1756.82,332870.03,49,340631.84,Within Budget
4869,8,5,3,56,0,Kerala,Kozhikode,Urban,Roofing,Economy,Economy,3,5,7,6,No,Summer,357.54,65.08,49.16,283.85,9.46,75.51,1637.91,869007.93,79,1044054.74,Over Budget
3121,7,3,3,21,0,Delhi,New Delhi,Rural,Kitchen,Premium,Standard,8,7,7,6,No,Summer,554.81,98.08,77.63,484.9,14.53,125.49,2702.66,305908.94,50,557178.71,Within Budget
3112,6,3,3,23,1,Kerala,Kochi,Semi-Urban,Roofing,Standard,Premium,6,9,10,7,Yes,Monsoon,418.97,69.78,61.93,346.93,11.04,94.02,1977.17,314958.97,74,404067.36,Within Budget
973,3,2,1,80,1,Karnataka,Mangaluru,Semi-Urban,Flooring,Standard,Standard,4,1,1,3,No,Winter,394.18,73.17,55.87,338.32,10.4,92.23,1852.93,139964.13,54,150088.42,Over Budget
5151,8,5,4,57,1,Telangana,Nizamabad,Semi-Urban,Full,Standard,Economy,7,5,3,4,No,Winter,376.93,67.27,53.43,318.07,10.17,89.73,1757.57,525853.24,107,682045.66,Within Budget
5559,8,4,4,64,1,Telangana,Warangal,Semi-Urban,Exterior,Premium,Economy,6,5,2,6,No,Summer,501.38,86.32,72.24,414.84,13.37,109.41,2398.28,724772.09,65,1191972.86,Over Budget
5418,8,5,4,21,1,Rajasthan,Udaipur,Semi-Urban,Bathroom,Premium,Standard,7,8,9,6,No,Winter,448.52,81.1,69.31,371.73,11.7,101.86,2106.72,514176.11,61,847423.94,Over Budget
3798,8,5,3,54,0,Telangana,Nizamabad,Urban,Interior,Premium,Standard,6,6,3,5,No,Winter,479.17,90.1,72.48,409.56,13.05,111.62,2386.3,502605.02,49,733100.84,Over Budget
2635,6,4,2,50,1,Delhi,New Delhi,Rural,Painting,Standard,Premium,7,7,3,3,No,Summer,432.06,79.93,61.98,373.03,11.46,98.56,2179.49,207494.79,44,479322.78,Over Budget
3853,8,4,3,3,0,Gujarat,Surat,Semi-Urban,Interior,Premium,Premium,9,8,10,9,No,Winter,502.17,86.63,76.14,422.52,12.93,111.15,2410.26,338758.08,43,665978.95,Within Budget
1338,2,2,1,75,0,Maharashtra,Thane,Semi-Urban,Flooring,Luxury,Economy,5,2,1,3,No,Monsoon,706.22,120.38,106.1,605.44,18.12,155.28,3269.13,201657.39,71,397279.45,Over Budget
3195,6,4,3,14,1,Gujarat,Rajkot,Semi-Urban,Full,Premium,Premium,9,10,10,10,Yes,Monsoon,519.9,90.93,71.58,413.21,13.83,110.14,2373.27,310698.51,93,616777.94,Over Budget
5068,8,5,4,4,1,Gujarat,Surat,Urban,Bathroom,Standard,Premium,10,10,8,10,No,Monsoon,386.11,73.67,58.23,347.96,10.8,91.41,1906.25,570947.22,59,801159.78,Within Budget
1162,3,1,1,52,0,Maharashtra,Thane,Urban,Plumbing,Standard,Premium,7,5,5,6,No,Winter,426.14,75.23,61.31,354.0,11.54,100.31,2004.83,48001.33,39,52384.62,Over Budget
4366,8,5,3,25,1,Telangana,Karimnagar,Urban,Plumbing,Economy,Economy,6,10,8,7,No,Summer,337.79,56.61,45.36,271.46,8.65,72.52,1633.25,124706.51,33,168386.44,Over Budget
4313,8,4,4,63,0,West Bengal,Kolkata,Urban,Bathroom,Economy,Economy,6,5,6,6,No,Winter,314.14,57.93,46.52,270.44,8.81,75.79,1500.22,524266.66,62,613126.35,Over Budget
5394,8,4,3,28,1,Karnataka,Mysuru,Urban,Exterior,Economy,Standard,10,9,8,6,No,Winter,346.17,61.92,48.86,290.95,9.3,78.05,1626.59,531292.12,54,666814.81,Within Budget
2020,4,2,1,20,1,Tamil Nadu,Chennai,Urban,Painting,Premium,Standard,8,9,6,9,No,Monsoon,499.02,91.43,70.82,411.74,12.33,104.4,2301.75,215561.25,37,481359.01,Over Budget
2451,4,2,1,74,0,Maharashtra,Thane,Urban,Electrical,Standard,Standard,3,2,5,4,Yes,Summer,436.64,75.0,62.29,361.87,11.7,101.25,2034.77,489666.02,51,592110.61,Over Budget
2761,7,4,2,59,0,Gujarat,Vadodara,Urban,Plumbing,Premium,Economy,7,6,6,3,Yes,Monsoon,496.54,92.41,73.79,435.02,12.86,113.18,2487.0,103577.11,49,141037.31,Over Budget
4370,8,4,3,21,1,Uttar Pradesh,Lucknow,Semi-Urban,Kitchen,Luxury,Premium,9,6,7,9,No,Summer,559.62,104.37,82.02,480.44,15.0,127.29,2611.0,330543.42,56,615915.12,Within Budget
5310,8,4,3,36,1,Gujarat,Vadodara,Rural,Bathroom,Premium,Standard,8,6,8,9,Yes,Monsoon,495.06,92.47,71.98,442.35,13.74,118.04,2322.71,472664.54,70,777005.49,Within Budget
3765,7,4,3,49,1,Tamil Nadu,Salem,Rural,Plumbing,Luxury,Standard,4,7,4,8,No,Summer,595.89,108.08,94.0,552.14,15.78,144.02,2896.7,108167.3,46,207008.07,Over Budget
3656,8,4,3,69,1,Gujarat,Rajkot,Rural,Painting,Economy,Standard,4,3,2,5,No,Summer,351.29,62.52,47.58,278.7,8.83,72.98,1593.32,367427.29,49,558460.13,Over Budget
3336,7,4,2,32,1,West Bengal,Howrah,Urban,Painting,Premium,Standard,6,8,9,6,No,Summer,481.55,84.66,69.9,415.96,12.46,103.99,2260.48,368168.73,53,725360.69,Over Budget
3230,8,5,3,33,1,Maharashtra,Pune,Rural,Exterior,Economy,Standard,9,7,7,5,No,Monsoon,377.33,64.97,54.12,318.61,10.01,79.34,1778.22,300334.26,59,436634.55,Over Budget
2744,5,3,2,25,1,Tamil Nadu,Chennai,Rural,Interior,Standard,Standard,10,8,7,6,No,Winter,384.62,69.45,54.96,339.04,10.69,86.38,1854.33,160601.5,38,307155.84,Within Budget
1747,4,3,2,44,0,Rajasthan,Jaipur,Urban,Flooring,Luxury,Premium,6,4,7,4,Yes,Summer,567.56,104.15,87.49,484.83,15.34,133.75,2757.69,246611.56,55,371365.37,Within Budget
4262,8,5,3,9,1,Maharashtra,Nashik,Urban,Interior,Standard,Standard,8,9,10,9,No,Summer,431.36,81.71,64.49,369.48,11.6,99.97,2149.78,504605.93,55,770097.34,Within Budget
4408,8,5,4,5,1,Telangana,Nizamabad,Urban,Roofing,Economy,Standard,10,10,8,10,No,Summer,344.89,61.6,49.23,266.11,8.42,74.72,1634.12,400543.01,60,458182.08,Within Budget
3132,6,3,2,9,0,West Bengal,Howrah,Rural,Roofing,Premium,Standard,10,8,10,9,No,Summer,476.91,87.54,66.07,414.66,12.04,104.74,2314.9,252715.34,59,315553.33,Within Budget
529,1,1,1,7,0,Delhi,New Delhi,Semi-Urban,Electrical,Premium,Standard,8,10,10,9,No,Monsoon,534.91,103.14,84.1,473.01,14.69,131.19,2538.4,59571.19,34,109274.93,Over Budget
3690,8,4,3,57,0,Karnataka,Mangaluru,Semi-Urban,Full,Economy,Standard,7,5,6,7,No,Summer,337.58,61.33,47.12,291.36,9.24,77.01,1649.71,475199.4,101,545415.47,Over Budget
2161,5,3,1,53,1,Rajasthan,Kota,Urban,Roofing,Standard,Standard,5,4,6,3,Yes,Summer,353.32,65.51,54.65,306.45,9.34,78.82,1825.73,380412.52,69,391973.36,Over Budget
5888,8,5,4,55,0,Maharashtra,Thane,Urban,Painting,Standard,Economy,6,4,3,5,No,Summer,431.21,80.25,63.72,379.31,11.9,102.39,2135.91,902089.68,64,1191621.63,Within Budget
5664,8,4,4,4,0,Maharashtra,Nagpur,Rural,Interior,Economy,Economy,10,8,9,8,Yes,Monsoon,372.58,65.65,53.51,302.08,9.59,81.63,1837.17,489723.57,55,755466.27,Within Budget
830,1,1,1,80,0,Karnataka,Mangaluru,Urban,Electrical,Standard,Standard,1,4,1,2,Yes,Monsoon,390.35,72.67,57.67,341.62,10.02,88.32,1908.77,160881.54,67,207233.52,Over Budget
2869,5,2,3,38,1,Karnataka,Bengaluru,Urban,Full,Economy,Standard,6,9,9,7,Yes,Monsoon,351.42,57.91,46.73,297.63,9.25,76.44,1618.29,463595.12,115,575500.1,Over Budget
3821,8,4,3,3,1,Tamil Nadu,Tiruchirappalli,Urban,Roofing,Economy,Premium,9,10,10,10,No,Winter,329.22,58.4,47.38,275.48,8.46,74.5,1515.07,390192.72,51,474923.12,Within Budget
3262,7,3,2,14,0,Maharashtra,Pune,Urban,Exterior,Economy,Standard,10,10,10,10,No,Summer,387.21,66.9,54.49,316.7,10.13,84.14,1698.09,426387.02,42,578890.52,Over Budget
4022,8,5,4,76,0,Gujarat,Ahmedabad,Urban,Interior,Economy,Premium,1,1,5,5,Yes,Monsoon,341.1,61.6,51.0,299.73,8.96,78.96,1646.42,948142.27,89,974009.19,Over Budget
4296,8,4,3,58,0,Gujarat,Ahmedabad,Semi-Urban,Interior,Economy,Standard,6,7,7,7,Yes,Summer,338.03,59.94,49.1,283.66,9.1,78.8,1645.69,577584.86,61,654806.33,Over Budget
1174,4,3,1,37,1,West Bengal,Howrah,Urban,Full,Luxury,Standard,8,6,9,5,No,Winter,600.5,111.97,90.76,520.71,16.53,139.25,2933.4,134722.36,93,274981.0,Over Budget
5692,8,5,4,3,1,Maharashtra,Pune,Rural,Electrical,Economy,Premium,9,8,10,8,Yes,Monsoon,372.93,68.06,53.91,317.87,10.14,84.07,1776.61,526396.23,56,687424.22,Within Budget
1881,5,2,2,6,1,Gujarat,Surat,Rural,Bathroom,Premium,Standard,9,10,9,10,No,Winter,517.82,93.74,70.65,431.56,13.34,111.96,2449.26,130040.28,38,261252.42,Within Budget
4519,8,5,3,26,0,Maharashtra,Mumbai,Semi-Urban,Plumbing,Luxury,Standard,10,6,8,6,No,Monsoon,683.31,130.19,97.63,585.12,19.22,152.05,3295.81,134291.61,41,238892.27,Over Budget
618,1,1,1,51,1,Telangana,Nizamabad,Rural,Kitchen,Economy,Premium,5,4,4,3,Yes,Monsoon,340.32,60.11,45.96,283.14,8.63,70.05,1494.93,83199.88,76,99263.93,Over Budget
1624,5,3,1,37,0,Maharashtra,Mumbai,Urban,Painting,Standard,Economy,8,9,9,5,No,Monsoon,440.28,79.91,61.93,349.66,11.33,98.44,2005.27,210432.97,35,319623.05,Within Budget
4688,8,4,3,50,1,Kerala,Kannur,Urban,Bathroom,Premium,Standard,3,5,4,3,No,Monsoon,525.07,90.26,70.87,433.99,13.92,111.02,2497.83,1004874.27,87,1315108.77,Over Budget
4320,8,4,3,9,1,Kerala,Kozhikode,Urban,Interior,Standard,Standard,10,10,10,10,Yes,Summer,416.43,71.87,61.55,329.97,10.97,89.72,2002.19,456877.82,42,649150.08,Within Budget
3676,8,5,3,44,0,Rajasthan,Kota,Urban,Bathroom,Premium,Standard,4,7,8,5,No,Winter,452.51,78.99,67.76,380.49,12.25,102.3,2223.92,466514.97,62,645935.79,Over Budget
746,3,2,1,79,1,Maharashtra,Mumbai,Urban,Flooring,Standard,Premium,2,1,2,5,No,Winter,434.3,75.28,61.58,373.34,11.34,102.14,1973.2,164519.99,57,178073.7,Over Budget
4085,8,5,4,10,0,Uttar Pradesh,Noida,Urban,Bathroom,Economy,Economy,8,10,10,10,No,Winter,292.01,55.83,44.84,248.38,8.08,69.23,1509.91,429371.4,49,482977.73,Over Budget
1511,2,2,1,57,0,Gujarat,Vadodara,Semi-Urban,Plumbing,Economy,Economy,4,4,5,7,Yes,Winter,358.99,63.06,48.25,288.15,8.88,77.14,1616.51,45361.99,41,54378.63,Within Budget
1463,4,2,1,40,1,Rajasthan,Kota,Semi-Urban,Exterior,Economy,Standard,4,7,7,8,Yes,Winter,325.15,57.64,45.98,255.45,8.63,69.61,1545.05,192570.46,55,257333.58,Over Budget
1417,4,2,2,22,0,Gujarat,Surat,Urban,Bathroom,Premium,Economy,10,8,7,8,No,Winter,483.03,91.37,73.54,427.42,12.81,114.03,2480.88,115412.43,35,192412.78,Within Budget
5017,8,4,3,6,1,Telangana,Nizamabad,Semi-Urban,Electrical,Premium,Standard,10,10,9,10,No,Summer,463.81,82.88,69.7,407.36,12.37,109.53,2251.99,415625.22,54,767554.14,Within Budget
3229,7,3,3,66,0,Gujarat,Surat,Urban,Electrical,Economy,Economy,4,5,6,5,Yes,Monsoon,354.89,59.18,48.7,290.56,8.84,78.6,1621.52,621832.48,71,809592.76,Over Budget
4485,8,5,3,12,1,Uttar Pradesh,Agra,Rural,Painting,Standard,Economy,10,10,10,9,No,Summer,369.6,63.48,53.68,307.64,9.65,78.83,1675.18,229247.97,43,483050.4,Within Budget
1994,4,3,1,50,1,Uttar Pradesh,Noida,Rural,Painting,Economy,Premium,6,5,5,7,No,Winter,311.36,52.7,43.99,255.68,7.63,65.45,1414.19,129792.01,37,209850.33,Over Budget
4143,8,4,4,79,1,Tamil Nadu,Salem,Rural,Bathroom,Standard,Standard,5,5,4,5,No,Winter,403.76,69.12,57.63,345.42,10.39,90.15,1895.78,449830.96,54,774896.98,Over Budget
618,2,2,1,34,0,Kerala,Kottayam,Urban,Painting,Premium,Standard,6,5,9,5,Yes,Winter,509.98,91.05,73.6,419.21,13.5,116.03,2423.1,80386.07,28,128797.74,Within Budget
910,3,1,1,67,0,Uttar Pradesh,Noida,Rural,Plumbing,Standard,Premium,5,6,4,6,Yes,Monsoon,366.92,65.33,52.44,306.61,9.5,77.44,1649.11,26043.14,51,41642.04,Over Budget
2242,5,3,1,63,1,Rajasthan,Udaipur,Semi-Urban,Bathroom,Economy,Standard,6,5,5,4,No,Winter,322.85,54.89,44.38,269.49,8.12,69.68,1447.95,222385.1,48,303034.9,Over Budget
2055,6,4,2,18,0,West Bengal,Howrah,Urban,Plumbing,Economy,Economy,7,10,9,10,Yes,Winter,331.75,54.94,46.99,283.67,8.42,75.39,1587.9,48588.82,27,59118.36,Within Budget
2033,5,3,2,8,0,West Bengal,Howrah,Semi-Urban,Interior,Luxury,Economy,9,8,10,10,Yes,Winter,623.14,112.85,86.15,488.32,15.68,137.4,3003.39,204062.52,31,434576.8,Over Budget
4122,8,5,3,65,1,Maharashtra,Pune,Rural,Full,Premium,Standard,3,2,4,4,Yes,Monsoon,560.3,94.58,81.88,478.26,14.85,122.37,2480.57,663464.46,146,942261.25,Over Budget
1913,3,2,2,32,0,Maharashtra,Nashik,Urban,Roofing,Standard,Standard,5,7,7,6,Yes,Monsoon,420.32,76.69,62.65,368.09,11.95,99.74,2030.87,307351.14,72,381286.26,Over Budget
2816,6,3,2,18,1,Tamil Nadu,Salem,Semi-Urban,Roofing,Standard,Standard,10,10,8,8,No,Winter,395.15,72.05,56.79,330.53,10.16,91.2,1782.1,254473.25,50,289368.78,Within Budget
4540,8,4,3,42,1,Karnataka,Mysuru,Semi-Urban,Exterior,Premium,Standard,4,7,5,8,Yes,Monsoon,501.94,89.77,73.43,411.94,12.5,108.82,2245.09,662754.12,90,907394.0,Over Budget
998,1,1,1,45,0,Uttar Pradesh,Lucknow,Rural,Electrical,Economy,Standard,5,7,6,7,No,Summer,316.28,53.67,42.1,267.55,8.29,65.42,1490.02,98752.5,45,109033.05,Over Budget
4801,8,4,3,1,0,Maharashtra,Nashik,Semi-Urban,Flooring,Standard,Premium,9,10,10,9,No,Winter,456.11,79.96,60.8,379.39,11.41,100.35,2149.44,589023.82,46,935274.55,Over Budget
2088,4,2,1,58,0,Telangana,Hyderabad,Urban,Plumbing,Economy,Premium,3,4,7,5,Yes,Summer,343.18,59.4,48.05,285.0,8.95,71.76,1619.32,60274.5,36,84067.78,Over Budget
4670,8,5,4,36,0,Uttar Pradesh,Varanasi,Rural,Flooring,Standard,Economy,7,8,9,7,No,Summer,353.92,62.64,50.07,301.94,9.16,77.71,1752.5,392465.79,57,597358.08,Over Budget
4193,8,5,4,72,0,Delhi,New Delhi,Urban,Exterior,Luxury,Premium,1,5,2,1,Yes,Monsoon,729.9,129.71,107.72,585.32,19.37,164.08,3418.4,1071315.0,86,1245975.7,Over Budget
3127,7,3,2,25,0,Rajasthan,Jodhpur,Semi-Urban,Kitchen,Standard,Economy,8,8,9,9,No,Winter,363.41,64.39,53.42,310.32,9.31,86.42,1740.67,271355.87,58,338359.52,Within Budget
2064,5,3,2,6,0,Tamil Nadu,Chennai,Urban,Painting,Premium,Economy,9,10,9,10,No,Winter,476.81,87.99,73.95,405.31,13.21,109.31,2369.31,152669.34,28,358395.5,Within Budget
4175,8,5,3,18,1,Tamil Nadu,Tiruchirappalli,Rural,Plumbing,Economy,Premium,7,7,10,8,No,Summer,323.76,60.77,45.79,280.32,8.64,75.29,1602.18,75373.96,31,79404.8,Within Budget
4358,8,5,3,1,1,Kerala,Kochi,Semi-Urban,Plumbing,Luxury,Economy,10,9,8,8,Yes,Monsoon,639.63,118.91,92.69,544.91,17.79,140.7,3253.26,115636.81,40,170777.38,Within Budget
2392,6,3,2,11,0,Karnataka,Hubli,Urban,Electrical,Economy,Economy,8,7,10,10,No,Winter,333.43,63.59,51.41,296.88,9.3,73.81,1670.96,290807.73,36,345143.2,Within Budget
5043,8,5,3,10,1,Uttar Pradesh,Varanasi,Semi-Urban,Roofing,Economy,Economy,8,10,7,9,Yes,Summer,295.74,56.15,43.46,265.82,7.86,69.65,1386.42,356087.53,65,457203.83,Within Budget
1042,3,2,1,7,0,Delhi,New Delhi,Rural,Painting,Premium,Premium,10,10,8,10,No,Monsoon,557.73,97.57,81.56,466.12,14.29,126.45,2623.16,84816.37,29,204525.8,Within Budget
2819,5,2,2,35,0,Delhi,New Delhi,Semi-Urban,Roofing,Economy,Economy,7,8,7,7,Yes,Monsoon,365.41,67.73,55.48,321.36,9.63,81.76,1815.19,304903.26,74,384597.14,Within Budget
3057,7,3,3,53,1,Karnataka,Belagavi,Rural,Painting,Standard,Standard,4,4,5,5,Yes,Summer,384.87,69.02,56.46,329.27,10.8,88.01,1973.96,310862.68,51,494382.9,Over Budget
4461,8,4,4,14,0,Maharashtra,Mumbai,Rural,Painting,Standard,Premium,10,9,10,10,Yes,Monsoon,429.16,81.7,61.36,361.16,12.03,102.33,2026.83,293072.38,52,635439.76,Within Budget
4422,8,4,4,49,1,Delhi,New Delhi,Urban,Kitchen,Standard,Standard,8,4,7,5,Yes,Winter,439.04,81.79,66.97,388.76,11.69,100.29,2152.32,628336.03,63,812441.31,Within Budget
5795,8,5,4,10,1,West Bengal,Durgapur,Semi-Urban,Plumbing,Luxury,Premium,10,10,7,9,No,Winter,626.99,109.82,91.65,492.0,15.6,138.24,2783.91,140796.35,36,249715.4,Over Budget
5013,8,5,4,56,0,Kerala,Kochi,Urban,Plumbing,Standard,Standard,4,6,5,6,No,Winter,417.77,74.84,57.33,362.8,10.78,89.92,2025.75,172506.8,44,202141.05,Over Budget
1560,3,2,2,59,0,Uttar Pradesh,Agra,Urban,Electrical,Premium,Standard,3,5,3,3,Yes,Summer,439.49,76.78,66.56,392.17,12.03,100.03,2125.98,256413.92,51,341483.07,Over Budget
3892,8,4,3,24,0,Delhi,New Delhi,Urban,Kitchen,Standard,Standard,6,7,7,8,No,Winter,462.24,76.73,62.32,391.65,11.43,98.55,2114.98,722623.14,62,885812.67,Over Budget
4409,8,5,4,79,1,West Bengal,Kolkata,Urban,Painting,Economy,Standard,3,5,5,1,Yes,Monsoon,316.97,56.29,44.96,268.55,8.2,71.44,1544.75,645322.24,81,833443.86,Over Budget
3865,8,5,2,72,0,Rajasthan,Udaipur,Urban,Electrical,Standard,Premium,1,4,2,2,Yes,Monsoon,385.7,66.0,53.32,316.13,9.62,85.25,1744.03,837419.53,86,1065335.16,Over Budget
652,1,1,1,5,1,Telangana,Karimnagar,Urban,Painting,Premium,Standard,10,10,8,10,Yes,Monsoon,497.83,89.5,69.19,421.16,12.17,110.75,2305.64,54711.21,21,135193.8,Within Budget
1238,4,2,2,5,1,Maharashtra,Nagpur,Rural,Electrical,Premium,Economy,9,9,10,10,No,Summer,552.27,97.05,79.98,473.1,14.83,125.92,2605.63,112199.2,30,212113.7,Within Budget
5289,8,4,4,38,1,West Bengal,Siliguri,Rural,Exterior,Economy,Standard,8,5,7,6,No,Winter,311.14,55.76,45.92,265.13,8.79,71.47,1475.25,437445.03,65,535977.81,Within Budget
5543,8,5,4,10,0,Delhi,New Delhi,Semi-Urban,Electrical,Luxury,Standard,7,7,10,9,No,Monsoon,738.65,127.07,108.7,623.79,18.87,157.64,3324.86,690946.85,69,1312401.5,Within Budget
1469,4,3,2,7,0,Karnataka,Hubli,Urban,Electrical,Standard,Premium,10,9,9,10,Yes,Summer,416.27,69.79,58.64,327.61,10.37,92.85,1826.78,154261.91,30,232504.24,Within Budget
2902,7,3,3,12,0,Kerala,Thiruvananthapuram,Urban,Painting,Economy,Standard,7,7,9,7,No,Summer,346.13,60.13,48.32,290.33,9.39,74.93,1621.56,330002.42,40,445639.47,Within Budget
1523,3,1,1,9,0,West Bengal,Howrah,Urban,Kitchen,Standard,Economy,10,10,10,9,Yes,Winter,364.82,69.72,55.49,316.29,10.46,83.42,1735.17,125182.29,40,202082.14,Within Budget
1090,1,1,1,4,1,Telangana,Warangal,Semi-Urban,Interior,Premium,Standard,9,10,10,8,Yes,Monsoon,491.19,82.98,72.85,388.09,12.57,106.39,2269.03,95737.92,40,159491.98,Within Budget
3847,8,4,3,10,0,West Bengal,Kolkata,Urban,Interior,Luxury,Premium,10,10,9,10,No,Summer,603.35,107.74,89.24,513.93,15.44,130.34,2758.76,326581.48,43,656100.26,Within Budget
1672,5,3,2,76,0,Maharashtra,Nashik,Semi-Urban,Interior,Economy,Premium,1,4,5,5,Yes,Summer,377.62,67.52,52.02,297.56,9.42,79.03,1758.87,334155.36,59,376400.97,Over Budget
4637,8,5,3,48,0,Maharashtra,Mumbai,Semi-Urban,Roofing,Premium,Economy,4,6,8,4,No,Summer,546.84,93.4,81.9,444.68,13.88,125.53,2689.52,696887.08,67,797362.56,Within Budget
1344,2,1,1,2,0,Kerala,Thrissur,Urban,Full,Luxury,Premium,10,10,9,10,No,Summer,683.95,115.39,98.14,556.92,16.62,149.43,2971.26,125966.6,82,281948.99,Within Budget
4625,8,5,3,60,1,Maharashtra,Nagpur,Urban,Interior,Standard,Economy,4,6,3,5,Yes,Monsoon,457.62,82.09,64.99,376.55,11.55,100.64,1997.67,1105003.48,77,1471773.79,Over Budget
595,1,1,1,2,1,Kerala,Kannur,Urban,Bathroom,Economy,Standard,9,10,10,8,No,Winter,336.36,61.05,48.19,285.87,9.5,77.35,1717.77,66115.65,32,76742.48,Within Budget
1095,3,1,1,65,0,Delhi,New Delhi,Semi-Urban,Flooring,Standard,Economy,4,4,4,5,No,Summer,458.95,78.78,63.42,361.54,11.45,103.11,2141.99,173681.14,52,240919.8,Over Budget
1746,4,3,2,53,0,Uttar Pradesh,Noida,Rural,Electrical,Standard,Economy,3,3,4,5,No,Summer,364.23,60.98,53.44,295.62,9.02,77.89,1667.59,201538.09,51,302774.43,Over Budget
5947,8,5,3,4,1,Rajasthan,Jodhpur,Urban,Full,Economy,Economy,9,9,9,10,No,Summer,317.39,56.88,45.72,257.48,8.5,66.73,1419.46,606906.18,101,819243.98,Within Budget
4032,8,4,4,16,0,Rajasthan,Jaipur,Urban,Flooring,Premium,Standard,7,10,10,8,No,Winter,479.56,80.59,66.33,374.37,12.26,104.27,2214.64,484440.4,54,720208.04,Over Budget
4911,8,4,3,36,1,Tamil Nadu,Salem,Urban,Kitchen,Standard,Premium,5,8,7,8,No,Winter,390.8,72.93,56.66,325.92,9.97,85.96,1801.91,688946.43,70,896622.63,Over Budget
2701,5,3,3,75,0,Tamil Nadu,Chennai,Urban,Bathroom,Standard,Standard,1,2,5,4,Yes,Summer,404.68,72.46,54.82,332.65,10.62,89.28,1930.75,627492.3,77,814219.14,Over Budget
3280,8,4,2,64,1,Tamil Nadu,Salem,Urban,Kitchen,Standard,Economy,5,2,4,6,Yes,Summer,376.94,71.56,59.02,340.95,10.12,83.36,1870.06,469818.07,67,660394.19,Over Budget
1308,4,3,1,48,1,West Bengal,Kolkata,Urban,Full,Luxury,Standard,7,7,6,5,No,Monsoon,611.77,113.04,89.0,504.67,16.26,140.28,2844.97,213009.83,105,317533.72,Over Budget
2812,5,2,2,74,1,West Bengal,Kolkata,Urban,Painting,Economy,Standard,4,2,3,1,Yes,Monsoon,338.58,55.88,48.55,260.81,8.68,73.26,1589.16,368566.32,60,396976.52,Over Budget
